"d2008.x"	"d2008.y"
"1"	-1.2987817077751	4.64765438101376e-05
"2"	-1.17287649561159	5.30611359773511e-05
"3"	-1.04697128344809	6.07268539174435e-05
"4"	-0.921066071284587	6.92340975055776e-05
"5"	-0.795160859121084	7.86282115834753e-05
"6"	-0.669255646957581	8.95236116492687e-05
"7"	-0.543350434794077	0.000101760475692796
"8"	-0.417445222630574	0.000115248655838417
"9"	-0.291540010467071	0.000130269988452067
"10"	-0.165634798303567	0.000147607619034438
"11"	-0.0397295861400639	0.000166675664441706
"12"	0.0861756260234392	0.000187557802356859
"13"	0.212080838186943	0.000211346774438502
"14"	0.337986050350446	0.000237895918276757
"15"	0.463891262513949	0.000266905406568138
"16"	0.589796474677452	0.000298756322526521
"17"	0.715701686840956	0.000335172649971751
"18"	0.841606899004459	0.000374859783887976
"19"	0.967512111167963	0.000417956352294953
"20"	1.09341732333147	0.000466225298575228
"21"	1.21932253549497	0.000519707926434078
"22"	1.34522774765847	0.00057763054523184
"23"	1.47113295982198	0.000640382957451425
"24"	1.59703817198548	0.000711392113390043
"25"	1.72294338414898	0.000788067756008585
"26"	1.84884859631249	0.000870613507017906
"27"	1.97475380847599	0.000961590538338571
"28"	2.10065902063949	0.00106157951359702
"29"	2.226564232803	0.00116889634064464
"30"	2.3524694449665	0.0012837705899866
"31"	2.47837465713	0.00141218122695701
"32"	2.60427986929351	0.00154960740118527
"33"	2.73018508145701	0.00169625166957566
"34"	2.85609029362051	0.00185542748556265
"35"	2.98199550578402	0.00202878930243898
"36"	3.10790071794752	0.00221315252705827
"37"	3.23380593011102	0.0024087889428729
"38"	3.35971114227453	0.00262355240794024
"39"	3.48561635443803	0.00285184708003921
"40"	3.61152156660153	0.00309325543621322
"41"	3.73742677876504	0.00335152655056173
"42"	3.86333199092854	0.00362998020333605
"43"	3.98923720309204	0.00392333182583485
"44"	4.11514241525555	0.00423183634929897
"45"	4.24104762741905	0.00456467235602015
"46"	4.36695283958255	0.00491572258854715
"47"	4.49285805174606	0.00528348758934986
"48"	4.61876326390956	0.00567155922146002
"49"	4.74466847607306	0.00608525624573203
"50"	4.87057368823656	0.00651689308239872
"51"	4.99647890040007	0.00696661370420288
"52"	5.12238411256357	0.00744375511442004
"53"	5.24828932472708	0.00794249649230355
"54"	5.37419453689058	0.00845995436245429
"55"	5.50009974905408	0.00899884922853256
"56"	5.62600496121758	0.00956611139539194
"57"	5.75191017338109	0.0101520731468726
"58"	5.87781538554459	0.0107566623614346
"59"	6.00372059770809	0.0113877877260854
"60"	6.1296258098716	0.0120406789661385
"61"	6.2555310220351	0.0127112506682843
"62"	6.3814362341986	0.0134008274786227
"63"	6.50734144636211	0.0141164271869228
"64"	6.63324665852561	0.0148478944621372
"65"	6.75915187068911	0.0155948697837363
"66"	6.88505708285262	0.016362303207601
"67"	7.01096229501612	0.0171467188416276
"68"	7.13686750717963	0.0179437656319658
"69"	7.26277271934313	0.0187533827203803
"70"	7.38867793150663	0.0195799628407915
"71"	7.51458314367014	0.0204154524425871
"72"	7.64048835583364	0.0212592158813572
"73"	7.76639356799714	0.0221123715594607
"74"	7.89229878016064	0.0229721551351119
"75"	8.01820399232415	0.0238356380669477
"76"	8.14410920448765	0.0247020985543336
"77"	8.27001441665115	0.0255699574165117
"78"	8.39591962881466	0.0264364386086333
"79"	8.52182484097816	0.0273007396644395
"80"	8.64773005314166	0.0281603643533517
"81"	8.77363526530517	0.0290119366383029
"82"	8.89954047746867	0.0298559617662767
"83"	9.02544568963217	0.0306916384455107
"84"	9.15135090179568	0.0315106659856203
"85"	9.27725611395918	0.032316214472757
"86"	9.40316132612268	0.0331081750536636
"87"	9.52906653828619	0.0338817376087269
"88"	9.65497175044969	0.0346314333330585
"89"	9.78087696261319	0.035362741950244
"90"	9.9067821747767	0.0360750004992864
"91"	10.0326873869402	0.0367555010262252
"92"	10.1585925991037	0.0374112302872215
"93"	10.2844978112672	0.0380440034975789
"94"	10.4104030234307	0.0386485740667592
"95"	10.5363082355942	0.039216596548431
"96"	10.6622134477577	0.0397587633447419
"97"	10.7881186599212	0.0402747417417709
"98"	10.9140238720847	0.0407507251998063
"99"	11.0399290842482	0.0411947600182388
"100"	11.1658342964117	0.0416111148661975
"101"	11.2917395085752	0.0419957798061764
"102"	11.4176447207387	0.0423380995862841
"103"	11.5435499329022	0.0426525022193342
"104"	11.6694551450657	0.0429390691935817
"105"	11.7953603572292	0.0431859989683264
"106"	11.9212655693927	0.0434001342414269
"107"	12.0471707815563	0.0435876501450868
"108"	12.1730759937198	0.0437465901745096
"109"	12.2989812058833	0.0438659123948443
"110"	12.4248864180468	0.0439609109347049
"111"	12.5507916302103	0.044032020760715
"112"	12.6766968423738	0.0440713180373076
"113"	12.8026020545373	0.0440834247731414
"114"	12.9285072667008	0.0440749525193005
"115"	13.0544124788643	0.0440457703323207
"116"	13.1803176910278	0.0439869800832904
"117"	13.3062229031913	0.0439114828646412
"118"	13.4321281153548	0.0438198906711915
"119"	13.5580333275183	0.0437084028545116
"120"	13.6839385396818	0.0435796818109878
"121"	13.8098437518453	0.0434390238275757
"122"	13.9357489640088	0.0432870505826822
"123"	14.0616541761723	0.0431193979376349
"124"	14.1875593883358	0.0429437567443225
"125"	14.3134646004993	0.0427608390639288
"126"	14.4393698126628	0.042569913203003
"127"	14.5652750248263	0.042372621479067
"128"	14.6911802369898	0.0421717121087092
"129"	14.8170854491533	0.0419676913914938
"130"	14.9429906613168	0.0417607470422982
"131"	15.0688958734803	0.0415531494008952
